Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0001269,QA28,Denis,ai_ivanov,normal,minor,always,,General,2023-07-05,,,,private,2023-07-05,Отсутствует локализация презентационного ролика на главной странице.,assigned,open,
0001268,QA28,Denis,ai_ivanov,normal,trivial,always,,General,2023-07-05,,,,private,2023-07-05,"В разделе ""СВЯЖИТЕСЬ С ЭКСПЕРТАМИ"" частичная локализация контактных данных.",assigned,open,
0001267,QA28,Denis,ai_ivanov,normal,minor,always,,General,2023-07-05,,,,private,2023-07-05,"Нет локализации в презентационном ролике проекта ""3D-КОНФИГУРАТОР АВТО""",assigned,open,
0001266,QA28,Denis,ai_ivanov,normal,minor,always,,General,2023-07-05,,,,public,2023-07-05,"Ссылка на приложение ""BAZAR.CLUB"" в GOOGLE PLAY не действительна.",assigned,open,
0001261,QA28,Denis,ai_ivanov,normal,minor,have not tried,,General,2023-07-04,,,,private,2023-07-04,"Частичная локализация картинок в разделе ""РАЗРАБОТКА ВЕБ-ПРИЛОЖЕНИЙ""",assigned,open,
0001264,QA28,Denis,ai_ivanov,normal,trivial,always,,General,2023-07-04,,,,private,2023-07-04,"Отсутствует локализация картинок в проекте ""RUBICON WALLET""",assigned,open,
0001263,QA28,Denis,ai_ivanov,high,trivial,always,,General,2023-07-04,,,,private,2023-07-04,"Не активна ссылка ""разработка web-приложений на Java"" в разделе ""ВЕБ-ПРИЛОЖЕНИЯ"" в украинской локализации.",assigned,open,
0001203,QA28,Denis,ai_ivanov,low,trivial,always,,General,2023-07-03,,,,private,2023-07-03,Количество символов в поисковой строке достигает 1514 символов.,assigned,open,
0001201,QA28,Denis,ai_ivanov,high,tweak,always,,General,2023-07-02,,,Windows,private,2023-07-03,Не читаемость текста на главном банере в разделе РАЗРАБОТКА МОБИЛЬНЫХ ПРИЛОЖЕНИЙ ДЛЯ IOS в русской локализации.,assigned,open,
0001202,QA28,Denis,ai_ivanov,high,trivial,always,,General,2023-07-02,,,,private,2023-07-02,"При заполнении формы ""З'ЯВИЛИСЯ ПИТАННЯ?"" не корректными данными, не указано, какое именно поле содержит ошибку.",assigned,open,
0001179,QA28,Denis,,high,trivial,have not tried,,General,2023-06-29,,,,public,2023-06-29,"Ссылка ""Раскрыть текст"" не меняется, после раскрытия текста.",new,open,
0001171,QA28,Denis,,normal,trivial,always,,General,2023-06-29,,,,public,2023-06-29,"В боковом меню слева отсутствует иконка в разделе ""Чат з Rozetka""",new,open,
